기관명,영문서비스명,시작주소,끝주소,개수(/24),할당일
에이비클,ABCLE,211.172.224.0,211.172.227.255,4,20000614
에이비클,ABCLE,211.172.228.0,211.172.235.255,8,20000830
에이비클,ABCLE,211.236.160.0,211.236.191.255,32,20001208
에이비클,ABCLE,211.172.176.0,211.172.183.255,8,20040831
에이비클,ABCLE,211.172.188.0,211.172.191.255,4,20040831
에이비클,ABCLE,210.4.216.0,210.4.223.255,8,20070927
에이비클,ABCLE,124.217.196.0,124.217.199.255,4,20071102
에이비클,ABCLE,124.217.204.0,124.217.223.255,20,20071102
에이비클,ABCLE,114.141.0.0,114.141.7.255,8,20080613
에이비클,ABCLE,114.141.12.0,114.141.15.255,4,20080613
에이비클,ABCLE,114.141.20.0,114.141.31.255,12,20080613
에이비클,ABCLE,113.30.96.0,113.30.107.255,12,20081020
에이비클,ABCLE,110.4.104.0,110.4.111.255,8,20090224
에이비클,ABCLE,110.4.116.0,110.4.127.255,12,20090224
에이비클,ABCLE,110.4.80.0,110.4.95.255,16,20090224
에이비클,ABCLE,180.210.20.0,180.210.27.255,8,20090929
에이비클,ABCLE,180.210.32.0,180.210.39.255,8,20090929
에이비클,ABCLE,180.210.44.0,180.210.63.255,20,20090929
에이비클,ABCLE,182.252.128.0,182.252.147.255,20,20100510
에이비클,ABCLE,182.252.160.0,182.252.171.255,12,20100510
에이비클,ABCLE,182.252.176.0,182.252.179.255,4,20100510
에이비클,ABCLE,101.79.0.0,101.79.7.255,8,20101222
에이비클,ABCLE,101.79.132.0,101.79.139.255,8,20101222
에이비클,ABCLE,101.79.188.0,101.79.207.255,20,20101222
에이비클,ABCLE,101.79.240.0,101.79.255.255,16,20101222
에이비클,ABCLE,101.79.48.0,101.79.59.255,12,20101222
에이비클,ABCLE,101.79.72.0,101.79.79.255,8,20101222
(주)아프리카티비,AFREECATV,203.238.128.0,203.238.159.255,32,19951002
(주)엘지유플러스,BORANET,210.98.224.0,210.98.227.255,4,19980401
(주)엘지유플러스,BORANET,210.98.228.0,210.98.231.255,4,19980501
(주)엘지유플러스,BORANET,210.98.232.0,210.98.235.255,4,19980501
(주)엘지유플러스,BORANET,210.98.236.0,210.98.239.255,4,19980501
(주)엘지유플러스,BORANET,61.97.32.0,61.97.47.255,16,20011031
(주)엘지유플러스,BORANET,61.97.112.0,61.97.127.255,16,20011227
